url,description,raw_skills
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000223&jc=0001474208&ec=0000000266,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Data Management Systems (Pvt) Ltd Closing Date: 27/03/2026 Job Ref No: 1474208 Full Time Apply by email Print Software Engineer (Male) Data Management Systems (Pvt) Ltd Data Management Systems (Pvt) Ltd, (DMS) is a pioneering IT Company in Sri Lanka, now in its 49th year of business operations. While partnering the world’s leading IT Co’s, DMS specializes in Systems Integration and Customized Software Solutions for Sri Lankan and overseas markets DMS provides the excitement of working with the world’s leading IT brands, Financial solutions and learning from experienced managers and professionals in the IT industry. DMS represents the World’s leading American IT Co’s IBM, HP, Oracle, Microsoft, Diebold Nixdorf, Entrust-Datacard, Cisco and VMWare and has been the first to implement many cutting-edge technology solutions in Sri Lanka for over 48 years. The following vacancy currently exists in the Banking and Financial Systems Strategic Business Unit (SBU) of DMS. Vacancy: Software Engineer (Male) Applicants should be under 28 years of age and possess a Computer Science / Software degree from a recognized University / Institute and have a desire to pursue a career in Software Development and Support. Candidates for these positions should have: Working knowledge in C#, .NET Framework, Web Forms, JavaScript, HTML5, CSS3 and PostgreSQL. A willingness to learn new things, and have the ability to Understand Programming Logic. Strong ability to reverse engineer code and the ability to read and understand code written by others. A good grasp of OOP design concepts and functional programming concepts. Ability to suggest innovative ideas and find solutions to problems on their own. Have the ability to interpret new SDK references and documentation. Experience in using Linux and Microsoft Windows servers, drivers, their functions etc. If selected for an interview, applicants should be able to Demonstrate All Above Listed Capabilities with Examples from academic & internship or work related projects completed. Job Profile Includes the following: - Customer requirement gathering. Planning, Design and Implementation of software applications, including UI design and writing code according to given specifications. Working as part of a team, which may be established for a specific project. Preparing documentation for developed programs. Testing sample data-sets to","javascript, postgresql, oracle, html5, css3, linux, vmware, oop, ui/ux, windows, business analysis"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0001474147&ec=DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Obsidian Global (Pvt) Ltd Pelawatte (Battaramulla), Sri Lanka Closing Date: 13/03/2026 Job Ref No: 1474147 Full Time Print Senior PHP Developer Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Print ▲",php
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=2&ac=DEFZZZ&jc=0001474127&ec=DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No AU Entertainment (Pvt) Ltd Colombo, Sri Lanka Closing Date: 13/03/2026 Job Ref No: 1474127 Full Time Apply by email Print LED Video Wall Palyback Trainee Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲","LED video wall technology, Novastar, Linsn, video playback software, media servers, networking protocols, AV control systems, HDMI and SDI protocols, basic IT troubleshooting"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=3&ac=0000000049&jc=0001474102&ec=0000000313,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No John Keells IT Colombo 2, Sri Lanka Closing Date: 27/03/2026 Job Ref No: 1474102 Full Time Apply by email Print Consultant - SAP Analytics Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",sap
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=4&ac=0000000049&jc=0001474098&ec=0000000313,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No John Keells IT Colombo 2, Sri Lanka Closing Date: 27/03/2026 Job Ref No: 1474098 Full Time Apply by email Print Formula 1 Graduate Placement Program Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲","Java, Python, C++, JavaScript, SQL, NoSQL, Agile methodologies, Cloud computing, Data analytics, Machine learning"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=5&ac=DEFZZZ&jc=0001474064&ec=DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Dreamteam Polgasowita, Sri Lanka Closing Date: 06/03/2026 Job Ref No: 1474064 Full Time Apply by email Print Creative Designers Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲","Adobe Creative Suite, Sketch, Figma, UI/UX design, Graphic Design, Web Design, Branding, Digital Illustration, Photography, Video Editing"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=6&ac=0000000262&jc=0001474030&ec=0000000338,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Debug Group of Companies http://www.debug.lk Closing Date: 13/03/2026 Job Ref No: 1474030 Full Time Apply by email Print Junior Network and Cyber Security Engineer Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",cyber security
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=7&ac=0000000375&jc=0001473972&ec=0000000492,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Jobfactory http://www.jobfactory.lk/ Colombo, Sri Lanka Closing Date: 13/03/2026 Job Ref No: 1473972 Full Time Apply by email Print Senior DevOPs Engineer Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲","Docker, Kubernetes, Jenkins, Ansible, AWS, Azure, Python, Linux, Git, CI/CD"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=8&ac=0000000375&jc=0001473971&ec=0000000492,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Jobfactory http://www.jobfactory.lk/ Colombo, Sri Lanka Closing Date: 13/03/2026 Job Ref No: 1473971 Full Time Apply by email Print Lead DevOps Enginineer Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲","Docker, Kubernetes, Jenkins, AWS, Azure, Python, Ansible, Git, CI/CD pipelines, Linux"
https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0001473855&ec=DEFZZZ,"× Seems you have change your Email address! Do you wish to update your email address in topjobs profile? Yes No Epic Lanka (Pvt) Ltd Colombo, Sri Lanka Closing Date: 12/03/2026 Job Ref No: 1473855 Full Time Apply by email Print Senior Business Analyst Apply for jobs from your topjobs account create your personalised digital CV submit your CV with one click (no more uploading) track your job applications in one place Sign Up Login Having difficulty passing reCAPTCHA? ,
                                            or For additional help, visit our Contact Us page. Apply by email Company: Company Email: Vacancy: Vacancy Ref No: Your CV is sent to the employer directly and they will contact you directly on the selection process. Your Name: * Contact No: * Your Email: * Email Subject: Message: * Attach Your CV: * If registered, you can log-in and attach your saved CV Allowed types: .doc, .docx, .odt, .pdf, .jpg, .jpeg, .png. Max size: 2.0MB Send me a copy of my email application Verify Your Email: * Email addresses are different! General Message - Apply for this vacancy only if you are genuinely interested in this position. Send Clear Close Send to a Friend Friend's Email: * My Email: * Comment: Send Clear Close Apply by email Print ▲",business analysis
